Organisation;Service;Jeu de données initial;Resource initiale;Jeu de données fusionné;Resource après fusion
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le premier degré selon le sexe et l'âge - actualisation 2012;;Le premier degré selon le sexe et l'âge;Le premier degré selon le sexe et l'âge - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le premier degré selon le sexe et l'âge - actualisation 2013;;Le premier degré selon le sexe et l'âge;Le premier degré selon le sexe et l'âge - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le second degré : évolution;;Le second degré : évolution;Le second degré : évolution
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le second degré : évolution - actualisation 2011;;Le second degré : évolution;Le second degré : évolution - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le second degré : évolution - actualisation 2012;;Le second degré : évolution;Le second degré : évolution - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le second degré : évolution - actualisation 2013;;Le second degré : évolution;Le second degré : évolution - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le second degré par département et académie;;Le second degré par département et académie;Le second degré par département et académie
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le second degré par département et académie - actualisation 2011;;Le second degré par département et académie;Le second degré par département et académie - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le second degré par département et académie - actualisation 2012;;Le second degré par département et académie;Le second degré par département et académie - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Le second degré par département et académie - actualisation 2013;;Le second degré par département et académie;Le second degré par département et académie - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les classes préparatoires aux grandes écoles (CPGE);;Les classes préparatoires aux grandes écoles (CPGE);Les classes préparatoires aux grandes écoles (CPGE)
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les classes préparatoires aux grandes écoles (CPGE) - actualisation 2011;;Les classes préparatoires aux grandes écoles (CPGE);Les classes préparatoires aux grandes écoles (CPGE) - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les classes préparatoires aux grandes écoles [CPGE] - actualisation 2012;;Les classes préparatoires aux grandes écoles (CPGE);Les classes préparatoires aux grandes écoles [CPGE] - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les compétences en lecture des jeunes;;Les compétences en lecture des jeunes;Les compétences en lecture des jeunes
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les compétences en lecture des jeunes - actualisation 2011;;Les compétences en lecture des jeunes;Les compétences en lecture des jeunes - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les compétences en lecture des jeunes - actualisation 2012;;Les compétences en lecture des jeunes;Les compétences en lecture des jeunes - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les compétences en lecture des jeunes - actualisation 2013;;Les compétences en lecture des jeunes;Les compétences en lecture des jeunes - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les dépenses par élève et par étudiant;;Les dépenses par élève et par étudiant;Les dépenses par élève et par étudiant
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les dépenses par élève et par étudiant - actualisation 2011;;Les dépenses par élève et par étudiant;Les dépenses par élève et par étudiant - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les dépenses par élève et par étudiant - actualisation 2012;;Les dépenses par élève et par étudiant;Les dépenses par élève et par étudiant - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les dépenses par élève et par étudiant - actualisation 2013;;Les dépenses par élève et par étudiant;Les dépenses par élève et par étudiant - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les effectifs des centres de formation d’apprentis : évolution - actualisation 2011;;Les effectifs des centres de formation d’apprentis : évolution;Les effectifs des centres de formation d’apprentis : évolution - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les effectifs des centres de formation d’apprentis : évolution - actualisation 2012;;Les effectifs des centres de formation d’apprentis : évolution;Les effectifs des centres de formation d’apprentis : évolution - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les effectifs des centres de formation d’apprentis : évolution - actualisation 2013;;Les effectifs des centres de formation d’apprentis : évolution;Les effectifs des centres de formation d’apprentis : évolution - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les effectifs du supérieur : évolution;;Les effectifs du supérieur : évolution;Les effectifs du supérieur : évolution
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les effectifs du supérieur : évolution - actualisation 2011;;Les effectifs du supérieur : évolution;Les effectifs du supérieur : évolution - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les effectifs du supérieur : évolution - actualisation 2012;;Les effectifs du supérieur : évolution;Les effectifs du supérieur : évolution - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les effectifs du supérieur : évolution - actualisation 2013;;Les effectifs du supérieur : évolution;Les effectifs du supérieur : évolution - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les incidents graves déclarés par les établissements publics - actualisation 2011;;Les incidents graves déclarés par les établissements publics;Les incidents graves déclarés par les établissements publics - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les incidents graves déclarés par les établissements publics - actualisation 2012;;Les incidents graves déclarés par les établissements publics;Les incidents graves déclarés par les établissements publics - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les incidents graves déclarés par les établissements publics - actualisation 2013;;Les incidents graves déclarés par les établissements publics;Les incidents graves déclarés par les établissements publics - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les technologies de l’information et de la communication dans les écoles et les établissements publics;;Les technologies de l’information et de la communication dans les écoles et les établissements publics;Les technologies de l’information et de la communication dans les écoles et les établissements publics
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les technologies de l’information et de la communication dans les écoles et les établissements publics - actualisation 2011;;Les technologies de l’information et de la communication dans les écoles et les établissements publics;Les technologies de l’information et de la communication dans les écoles et les établissements publics - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les technologies de l’information et de la communication dans les écoles et les établissements publics - actualisation 2012;;Les technologies de l’information et de la communication dans les écoles et les établissements publics;Les technologies de l’information et de la communication dans les écoles et les établissements publics - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les technologies de l’information et de la communication dans les écoles et les établissements publics - actualisation 2013;;Les technologies de l’information et de la communication dans les écoles et les établissements publics;Les technologies de l’information et de la communication dans les écoles et les établissements publics - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les écoles;;Les écoles;Les écoles
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les écoles - actualisation 2011;;Les écoles;Les écoles - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les écoles - actualisation 2012;;Les écoles;Les écoles - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les écoles - actualisation 2013;;Les écoles;Les écoles - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les établissements publics en zones urbaines sensibles - actualisation 2011;;Les établissements publics en zones urbaines sensibles;Les établissements publics en zones urbaines sensibles - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les établissements publics en zones urbaines sensibles - actualisation 2012;;Les établissements publics en zones urbaines sensibles;Les établissements publics en zones urbaines sensibles - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les établissements publics en zones urbaines sensibles - actualisation 2013;;Les établissements publics en zones urbaines sensibles;Les établissements publics en zones urbaines sensibles - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les étudiants des universités;;Les étudiants des universités;Les étudiants des universités
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les étudiants des universités - actualisation 2011;;Les étudiants des universités;Les étudiants des universités - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les étudiants des universités -actualisation 2012;;Les étudiants des universités;Les étudiants des universités -actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les étudiants des universités -actualisation 2013;;Les étudiants des universités;Les étudiants des universités -actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les étudiants étrangers dans l’enseignement supérieur;;Les étudiants étrangers dans l’enseignement supérieur;Les étudiants étrangers dans l’enseignement supérieur
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les étudiants étrangers dans l’enseignement supérieur - actualisation 2011;;Les étudiants étrangers dans l’enseignement supérieur;Les étudiants étrangers dans l’enseignement supérieur - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Les étudiants étrangers dans l’enseignement supérieur - actualisation 2012;;Les étudiants étrangers dans l’enseignement supérieur;Les étudiants étrangers dans l’enseignement supérieur - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;L’apprentissage dans le supérieur;;L’apprentissage dans le supérieur;L’apprentissage dans le supérieur
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;L’apprentissage dans le supérieur - actualisation 2011;;L’apprentissage dans le supérieur;L’apprentissage dans le supérieur - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;L’apprentissage dans le supérieur - actualisation 2012;;L’apprentissage dans le supérieur;L’apprentissage dans le supérieur - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;L’apprentissage dans le supérieur - actualisation 2013;;L’apprentissage dans le supérieur;L’apprentissage dans le supérieur - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;L’emploi des sortants d’apprentissage;;L’emploi des sortants d’apprentissage;L’emploi des sortants d’apprentissage
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;L’emploi à la sortie du lycée;;L’emploi à la sortie du lycée;L’emploi à la sortie du lycée
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Population scolaire et de l’enseignement supérieur par département et académie;;Population scolaire et de l’enseignement supérieur par département et académie;Population scolaire et de l’enseignement supérieur par département et académie
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Population scolaire et de l’enseignement supérieur par département et académie - actualisation 2011;;Population scolaire et de l’enseignement supérieur par département et académie;Population scolaire et de l’enseignement supérieur par département et académie - actualisation 2011
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Population scolaire et de l’enseignement supérieur par département et académie - actualisation 2012;;Population scolaire et de l’enseignement supérieur par département et académie;Population scolaire et de l’enseignement supérieur par département et académie - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Population scolaire et de l’enseignement supérieur par département et académie - actualisation 2013;;Population scolaire et de l’enseignement supérieur par département et académie;Population scolaire et de l’enseignement supérieur par département et académie - actualisation 2013
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Évolution des taux d’inscription dans l’enseignement supérieur - actualisation 2012;;Evolution des taux d’inscription dans l’enseignement supérieur;Évolution des taux d’inscription dans l’enseignement supérieur - actualisation 2012
Ministère de l'Éducation nationale;Direction de l'évaluation, la prospective et la performance;Évolution des taux d’inscription dans l’enseignement supérieur - actualisation 2013;;Evolution des taux d’inscription dans l’enseignement supérieur;Évolution des taux d’inscription dans l’enseignement supérieur - actualisation 2013
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Accès au livre : Achat de livres;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Accès au livre : Achat de livres
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Accès au livre : Inscription en bibliothèque ou médiathèque;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Accès au livre : Inscription en bibliothèque ou médiathèque
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Accès au livre : Nombre de livres possédés au foyer;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Accès au livre : Nombre de livres possédés au foyer
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Bibliothèques et médiathèques;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Bibliothèques et médiathèques
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Bibliothèques et médiathèques : Usages des bibliothèques et médiathèques;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Bibliothèques et médiathèques : Usages des bibliothèques et médiathèques
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Cassettes et DVD : possession et usages : Fréquence de visionnage des DVD;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Cassettes et DVD : possession et usages : Fréquence de visionnage des DVD
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Cassettes et DVD : possession et usages : Location et achat de DVD;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Cassettes et DVD : possession et usages : Location et achat de DVD
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Cassettes et DVD : possession et usages : Nombre de cassettes et DVD possédés au foyer;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Cassettes et DVD : possession et usages : Nombre de cassettes et DVD possédés au foyer
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Chaînes et programmes : Chaînes regardées le plus souvent;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Chaînes et programmes : Chaînes regardées le plus souvent
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Chaînes et programmes : Emissions regardées (liste d'émissions);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Chaînes et programmes : Emissions regardées (liste d'émissions)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Chaînes et programmes : Fréquence d'écoute d'Arte et des chaînes étrangères;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Chaînes et programmes : Fréquence d'écoute d'Arte et des chaînes étrangères
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Chaînes et programmes : Les principales séries citées;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Chaînes et programmes : Les principales séries citées
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Chaînes et programmes : Nombre de séries regardées régulièrement;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Chaînes et programmes : Nombre de séries regardées régulièrement
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Durée d'écoute et sentiment de dépendance : Contextes d'utilisation de la télévision;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Durée d'écoute et sentiment de dépendance : Contextes d'utilisation de la télévision
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Durée d'écoute et sentiment de dépendance : Durée hebdomadaire d'écoute de la télévision;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Durée d'écoute et sentiment de dépendance : Durée hebdomadaire d'écoute de la télévision
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Durée d'écoute et sentiment de dépendance : Fréquence d'écoute de la télévision;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Durée d'écoute et sentiment de dépendance : Fréquence d'écoute de la télévision
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Durée d'écoute et sentiment de dépendance : Sentiment de dépendance à l'égard de la télévision;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Durée d'écoute et sentiment de dépendance : Sentiment de dépendance à l'égard de la télévision
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Ecoute de musique : Accès à la musique (synthèse);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Ecoute de musique : Accès à la musique (synthèse);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Ecoute de musique : Accès à la musique (synthèse)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Ecoute de musique : Ecouter de la musique sans rien faire;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Ecoute de musique : Ecouter de la musique sans rien faire
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Ecoute de musique : Fréquence d'écoute de musique hors radio;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Ecoute de musique : Fréquence d'écoute de musique hors radio
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Ecoute de musique : Modalités d'écoute de la musique;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Ecoute de musique : Modalités d'écoute de la musique
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Equipement du foyer en appareils audiovisuels : Equipement audiovisuel du foyer;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Equipement du foyer en appareils audiovisuels : Equipement audiovisuel du foyer
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Equipement du foyer en appareils audiovisuels : Equipement ordinateur et internet;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Equipement du foyer en appareils audiovisuels : Equipement ordinateur et internet
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Equipement du foyer en appareils audiovisuels : Equipement téléphone;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Equipement du foyer en appareils audiovisuels : Equipement téléphone
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Equipement du foyer en appareils audiovisuels : Equipement télévision;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Equipement du foyer en appareils audiovisuels : Equipement télévision
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Fréquentation des salles de cinéma;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Fréquentation des salles de cinéma
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Jeux vidéo : Fréquence de pratique des jeux vidéo;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Jeux vidéo : Fréquence de pratique des jeux vidéo
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Jeux vidéo : Modalités de pratique des jeux vidéo;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Jeux vidéo : Modalités de pratique des jeux vidéo
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Jeux vidéo : Types de jeux vidéo pratiqués;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Jeux vidéo : Types de jeux vidéo pratiqués
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lecture de quotidiens et magazines : Fréquence de lecture presse gratuite;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lecture de quotidiens et magazines : Fréquence de lecture presse gratuite
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lecture de quotidiens et magazines : Fréquence de lecture presse quotidienne (payante);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lecture de quotidiens et magazines : Fréquence de lecture presse quotidienne (payante)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lecture de quotidiens et magazines : Lecture régulière de magazines;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lecture de quotidiens et magazines : Lecture régulière de magazines
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux d'exposition et de patrimoine : Fréquence annuelle des visites des lieux d'exposition;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux d'exposition et de patrimoine : Fréquence annuelle des visites des lieux d'exposition
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux d'exposition et de patrimoine : Fréquentation au cours de la vie des lieux d'exposition et de patrimoine;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux d'exposition et de patrimoine : Fréquentation au cours de la vie des lieux d'exposition et de patrimoine
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux d'exposition et de patrimoine : Fréquentation au cours des 12 derniers mois des lieux d'exposition et de patrimoine;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux d'exposition et de patrimoine : Fréquentation au cours des 12 derniers mois des lieux d'exposition et de patrimoine
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux d'exposition et de patrimoine : Genres de musée visités;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux d'exposition et de patrimoine : Genres de musée visités
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux d'exposition et de patrimoine : Lieu de visite des monuments historique;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux d'exposition et de patrimoine : Lieu de visite des monuments historique
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux d'exposition et de patrimoine : Modalités de visite des musées;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux d'exposition et de patrimoine : Modalités de visite des musées
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux d'exposition et de patrimoine :Visite de l'extérieur d'un lieu de patrimoine;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux d'exposition et de patrimoine :Visite de l'extérieur d'un lieu de patrimoine
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux de spectacles vivants : Fréquence annuelle des sorties au concert;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux de spectacles vivants : Fréquence annuelle des sorties au concert
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux de spectacles vivants : Fréquence annuelle des sorties au théâtre;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux de spectacles vivants : Fréquence annuelle des sorties au théâtre
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux de spectacles vivants : Fréquentation au cours de la vie des spectacles vivants;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux de spectacles vivants : Fréquentation au cours de la vie des spectacles vivants
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux de spectacles vivants : Fréquentation au cours des 12 derniers mois des spectacles vivants;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux de spectacles vivants : Fréquentation au cours des 12 derniers mois des spectacles vivants
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux de spectacles vivants : Fréquentation des festivals;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux de spectacles vivants : Fréquentation des festivals
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Lieux de spectacles vivants : Fréquentation des spectacles de théâtre de rue;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Lieux de spectacles vivants : Fréquentation des spectacles de théâtre de rue
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Musique, théâtre, danse, écriture et arts plastiques : Autres activités pratiquées en amateur;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Musique, théâtre, danse, écriture et arts plastiques : Autres activités pratiquées en amateur
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Musique, théâtre, danse, écriture et arts plastiques : Pratiques instrumentales;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Musique, théâtre, danse, écriture et arts plastiques : Pratiques instrumentales
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Musique, théâtre, danse, écriture et arts plastiques : Pratiques musicales en amateur;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Musique, théâtre, danse, écriture et arts plastiques : Pratiques musicales en amateur
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Musique, théâtre, danse, écriture et arts plastiques : Prendre des cours ou suivre des conférences;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Musique, théâtre, danse, écriture et arts plastiques : Prendre des cours ou suivre des conférences
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Nombre de livres lus : Auto estimation de son statut de lecteur;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Nombre de livres lus : Auto estimation de son statut de lecteur
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Nombre de livres lus : Nombre de bandes dessinées et mangas lus;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Nombre de livres lus : Nombre de bandes dessinées et mangas lus
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Nombre de livres lus : Nombre de livres lus;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Nombre de livres lus : Nombre de livres lus
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Photographie et vidéo : Equipement photo et vidéo du foyer;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Photographie et vidéo : Equipement photo et vidéo du foyer
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Photographie et vidéo : Fréquence d'utilisation appareils photo et vidéo numériques;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Photographie et vidéo : Fréquence d'utilisation appareils photo et vidéo numériques
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Photographie et vidéo : Fréquence d'utilisation des appareils photo et vidéo non numériques;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Photographie et vidéo : Fréquence d'utilisation des appareils photo et vidéo non numériques
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Photographie et vidéo : Pratiques numériques de la photo et de la vidéo;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Photographie et vidéo : Pratiques numériques de la photo et de la vidéo
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de films : Aiment particulièrement (liste de films);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de films : Aiment particulièrement (liste de films)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de films : Genres de films préférés;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de films : Genres de films préférés
